Forbearance & Forgiveness,الحلم و المغفرة,To exercise patience especially when others do wrong or are difficult to deal with
Taqwa,التقوة,"To be consious of Allah, and act accordingly"
Humbleness to Allah,التواضع لله,"To realize that your skills/talents are gifts from Allah, so you tame your ego when successes are achieved"
Contentment,الرضا,To be pleased with what you already have and the decree of Allah when it occers (whether good or bad)
Beatuful Perseverance,صبر جميل,To persevere in challenging situations and turn them into positive experiences
Reliance upon Allah,التوكل على الله,To trust Allah and rely upon Him in all matters
Consitency,المداومة,To commit to doing consistent actions and habits – even if they're small
Hereafter-focused,السعي للاخرة,To always work for the eternal afterlife and consider the Akhirah-outcome of actions
Gratefulness,الشكر,"To be mindfully greatful to Allah for the opportunities, and greatful to people around you"
Steadfastness upon the truth,الثبات على الحق,"To not fear the truth and its outcomes, to stand firm for the values you believe in"
Love or the sake of Allah,الحب في الله,To see the good in people and love them purely for the sake of Allah
Purpose- & Impact-driven,التركيز على الهدف و الاثر,"To be driven by higher purpose and impact, not solely for the short-term results"
Abundance,السعة,"To act recognizing that blessings and bounties are from Allah, and His Kingdom and Blessings are infinite and limitless"
Introspection & Self-accountability,التفكر و المحاسبة,To regularly reflect on your words and actions how they could be better
Presence,الحضور,To be present mindfully in order to connect deeply with others
Intentionality,استحضار و تجديد النية,To remember the intentions behind your actions and renew your intentions often
Taking initative,الاقدام و السباق في الخير,"To take initative in what is beneficial for you in this life and the next, and not hesitate or delay good words or actions"
