Mercy & Compassion,الرحمة,To be merciful and compassionate towards yourself and others
Peace,االسلام,To have inner peace and be a source of peace – not fear/stess – for others
Truthfullness,االصدق / السعي للحق,"To be truthful with yourself, and in your intentions, words, and actions. To avoid lying to yourself and others"
Family,االاهل / الارحام,"To prioritize and give due time, attention, and support to family: parents, spouce, children, and next of kin"
Modesty & Concealment,االحياء و الستر,To embody modesty and cover the faults and flaws of others
Beauty,االجمال,"To beautify your thoughts, hearts, words, actions, and relationships"
Justice,االقسط و العدل,To speak and act justly even if against yourself.
Generosity,االكرم,"To give others from your time, wealth, knowledge, and experience (and expect nothing in return)"
Excellence,الاحسان,"To seek excellence in thoughts, words, and actions by recognizing that Allah sees you even if you don't see him"
Strength,القوة,"To seek spiritual, physical, intellectual, and all forms of strength and use that for the sake of Allah, not to harm/opress others"
Uprightness,الرشد,"To do what's right morally, ethically, and honestly in all situations"
Trustworthiness,الامانة,"To consistently fulfill your promises, contracts, and trust on time and to the best of your ability"
Easiness,السهولة و اللين,"To be easy, down-to-earth and apporchable"
Moderation,الاعتدال / الاقتصاد,To avoid excessiveness in all matters and seek the middle path
Gentlness,الرفق,To be gentle in words and actions
Teamwork & Cooperation,التعاون,To help and work well with others for the sake of a greater good
Responsibility,المسؤولية,To take responsibility for your actions and not blame others
